ПІБ кандидата,Партія,Номер територіального виборчого округу (в порядку зростання),Код статті,Дата платежу,Номер розрахункового документа,Отримувач (повна назва),Місцезнаходження отримувача,Код отримувача (ЄДРПОУ),Призначення платежу,Сума (грн),Тип бенефіціара
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1350,2019-02-07,2/070219,"Дочірнє Підприємство ""КОНТРАКТИ-МЕДІА""ТОВ ""Українське рекламне агентство ""Галицькі контракти """,м. Львів,31291492,"+;1350;Зозміщення друков.агітац.мат. чи політ.реклами на носіях зовнішн.реклами (білбордах, .. тощо) зг.з рах. №РФ-0000000144 від 30.01.19,у т.ч. ПДВ 1890 грн",11340,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1350,2019-02-07,1/070219,"Дочірнє Підприємство ""КОНТРАКТИ-МЕДІА""ТОВ ""Українське рекламне агентство ""Галицькі контракти """,м. Львів,31291492,"+;1350;Зозміщення друков.агітац.мат. чи політ.реклами на носіях зовнішн.реклами (білбордах, .. тощо) зг.з рах. №РФ-0000000143 від 30.01.19,у т.ч. ПДВ 93865 грн",563190,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-08,2/080219,"ТОВ ""АРІАНДА ТВ""",м. Київ,37771216,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №2 від 30.01.2019, у тому числі ПДВ 27528 грн.",165168,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-08,3/080219,"ТОВ ""ЛІДЕР ТВ""",м. Київ,37725945,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №2 від 30.01.2019, у тому числі ПДВ 27528 грн.",165168,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-08,1/080219,"ТОВ ""Телерадіокомпанія ""112-ТВ""",м. Київ,38590676,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №2 від 30.01.2019, у тому числі ПДВ 27528 грн.",165168,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-08,5/080219,"ТОВ ""ПАРТНЕР ТВ""",м. Київ,37717583,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №2 від 30.01.2019, у тому числі ПДВ 27528 грн.",165168,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-08,4/080219,"ТОВ ""НОВИЙ ФОРМАТ ТВ""",м. Київ,37771169,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №2 від 30.01.2019, у тому числі ПДВ 27528 грн.",165168,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-08,6/080219,"ТОВ ""ТВ ВИБІР""",м. Київ,37717618,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №2 від 30.01.2019, у тому числі ПДВ 27528 грн.",165168,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-08,7/080219,"ТОВ ""Новини 24 години""",м. Київ,33786517,"+;1211;Часткова оплата ефірного часу н телебаченні згідно з рахунком №20 від 05.02.2019, у тому числі ПДВ 110500 грн.",663000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-11,2/110219,"ТОВ ""Новини 24 години""",м. Київ,33786517,"+;1211;Часткова оплата ефірного часу н телебаченні згідно з рахунком №20 від 05.02.2019, у тому числі ПДВ 29740грн.",178440,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1340,2019-02-13,5/130219,"ТОВ ""Самбірське АТП-14608""",м. Самбір,03114879,+;1340;Оренда будинків і примшщень усіх форм власності для проведеннязборів громадян та іншихзустрічей з виборцями згідно з рахунком №5 від 1.02.19р. Без ПДВ ,400,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-13,4/130219,"ТОВ ""Самбірська газета""",м. Самбір,40128395,+;1220;Оплата друкованих площ у друкованих засобах масової інформації  згідно з рахунком №7 від -31.01.19р. Без ПДВ,630,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-13,3/130219,"ТОВ ""Самбірська газета""",м. Самбір,40128395,+;1220;Оплата друкованих площ у друкованих засобах масової інформації  згідно з рахунком №4 від 08.02.19р. Без ПДВ,1000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1110,2019-02-13,1/130219,Бакашова Оксана Іванівна,м. Херсон,,"+;1110;Виготовлення друкованих матеріалам (виборчих листівок, плакатів та інших агітаційних матеріалам чи видань) зг. З рах. №14 від 11.02.19, без ПДВ",1910,ФОП
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-13,2/130219,"ТОВ ""Видавничий дім ""ВИСОКИЙ ЗАМОК""",м. Львів,13807721,"+;1220;Оплата друкованих площ у друкованих засобах масової інформації  згідно з рахунко-м №ВЗ-0000132 від 12.02.19р, у т.ч.ПДВ 4916,67грн.",29500,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-15,22382941,"ТОВ ""АРІАНДА ТВ""",м. Київ,37771216,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №9 від 15.02.2019, у тому числі ПДВ 27600 грн.",165600,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-15,22383137,"ТОВ ""ЛІДЕР ТВ""",м. Київ,37725945,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №9 від 15.02.2019, у тому числі ПДВ 27600 грн.",165600,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-15,22382989,"ТОВ ""Телерадіокомпанія ""112-ТВ""",м. Київ,38590676,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №13 від 15.02.2019, у тому числі ПДВ 27528 грн.",165600,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-15,22383110,"ТОВ ""ПАРТНЕР ТВ""",м. Київ,37717583,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №9 від 15.02.2019, у тому числі ПДВ 27600 грн.",165600,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-15,22383200,"ТОВ ""НОВИЙ ФОРМАТ ТВ""",м. Київ,37771169,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №9 від 15.02.2019, у тому числі ПДВ 27600 грн.",165600,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-02-15,22383053,"ТОВ ""ТВ ВИБІР""",м. Київ,37717618,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №9 від 15.02.2019, у тому числі ПДВ 27600 грн.",165600,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1340,2019-02-18,1,"Львівське КП ""Культурно-освітній центр імені О. Довженка""",м. Львів,01287788,"+;1340;Часткова оплата за оренду будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями згідно з рахунком №20 від 15.02.2019, у тому числі ПДВ 400 грн",2400,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1340,2019-02-20,1,"ПІДПРИЄМСТВО ""УГО ОМРП""",м. Херсон,02660657,"+;1340; Оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями згідно з рахунком №01/19-67 від 01 січня 2019р., без ПДВ ",1000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-22,22486338,"РНГ ""БОЙКІВСЬКА ДУМКА""",м. Сколе,22486338,"+;1220;Оплата друкованих площ у друкованих засобах масової інформації  згідно з рахунком №17 від 21.02.19р, без ПДВ ",192,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1340,2019-02-22,22486481,Відділ культури Сколівської РДА,"Львівська обл., Сколівський р-н, м. Сколе, вул. Данила Галицького, буд. 56.",02229439,"+;1340; Оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями згідно з рахунком №1 від 21.02.19., без ПДВ ",600,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1340,2019-02-26,22526701,"Львівське КП ""Культурно-освітній центр імені О. Довженка""",м. Львів,01287788,"+;1340; Оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями згідно з рахунком №20 від 15.02.2019, у тому числі ПДВ 933,33 грн",5600,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1340,2019-02-28,22563518,Бакатчук Маркіян Володимирович,м. Івано-Франківськ,,"+;1340;Оренда приміщеньдля проведення прес-конференцій стосовно положень передв. прогр. Добродомова зг.рах. №СФ-000156 від 22.02.19, без ПДВ",500,ФОП
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1340,2019-02-28,22563730,Відділ культури Тисменицької РДА,м. Тисмениця,02228397,"+;1340; Оренда будинків і приміщень усіх форм власності для проведення зборів громадян та інших зустрічей з виборцями згідно з рахунком №1 від 26.02.2019, без ПДВ ",1000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-28,22574197,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №14 від 15.02.2019 без ПДВ,3000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-28,22574509,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №7 від 6.02.2019 без ПДВ,3000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-28,22574584,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,"+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №20 від 15.02.2019, без ПДВ",3000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-28,22574544,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №18 від 15.02.2019 без ПДВ,3000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-28,22574944,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №17 від 15.02.2019 без ПДВ,5000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-28,22574665,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №13 від 15.02.2019 без ПДВ,5000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-28,22574891,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №19 від 15.02.2019 без ПДВ,5000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-02-28,22574828,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,"+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №15 від 15.02.2019, без ПДВ",5000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1350,2019-02-28,22574068,"ТОВ ""ПЕРША РЕКЛАМНА КОМПАНІЯ ""НАЙКРАЩА""",м. Камʼянське,40519311,"+;1350;Зозміщення друков.агітац.мат. чи політ.реклами на носіях зовнішн.реклами (білбордах) зг.з рах. №21 від 19.02.2019, без ПДВ",36000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1110,2019-03-01,22594943,"ТОВ ""Друкарня ОТТО ГАНС""",м. Івано-Франківськ,35276632,"+;1110;Виготовлення друкованих матеріалів (виборч. Листівок, плакатів та інших агіт.матер. чи видань) зг.з рах. №ОГ000000172 від 22.02.19, у т.ч.ПДВ 31,42 грн.","188,5",юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-03-01,22594639,"РЕДАКЦІЯ НАРОДНОГО ЧАСОПИСУ ""ГАЛИЦЬКА ЗОРЯ""",м. Дрогобич,02473978,"+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №10/02 від 26.02.2019, без ПДВ",320,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-03-01,22584983,"КП КМР ""Міська інформаційна служба""",м. Камʼянське,30169697,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №КП-0000035 від 1.03.2019, у тому числі ПДВ 2180 грн.",13080,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1220,2019-03-01,22585261,"ПП ""ДС-Колегія""",м. Камʼянське,41472063,"+;1220;Оплата друкованих площ у друкованих засобах масової інформації згідно з рахунком №ДС-000076 від 15.02.2019, без ПДВ",17100,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1350,2019-03-01,22584285,"ТОВ ""СІЛЛ АУТДОР""",м. Київ,41720623,"+;1350;Зозміщення друков.агітац.мат. чи політ.реклами на носіях зовнішн.реклами (білбордах) зг.з рах. №14 від 13.02.2019, у тому числі ПДВ 28627,2 грн",25000,юридична особа
Добродомов Дмитро Євгенович,"Громадський рух ""Народний контроль""",,1211,2019-03-01,22594421,"ТОВ ""ТРК ""ІНТЕРРАДІО""",м. Київ,39071613,"+;1211;Оплата ефірного часу н телебаченні згідно з рахунком №14 від 13.02.2019, у тому числі ПДВ 28627,2 грн.","171763,2",юридична особа
